model,sci_name,species,max_r_head,sum_moi_head,sum_moa_head,anal_moi,caudal_moi,dorsal_moi,pelvic_moi,all_fin_moi,anal_moa,caudal_moa,dorsal_moa,pelvic_moa,all_fin_moa,max_r_body,sum_moi_body,sum_moa_body,all_fin_sa,all_lateral_sa
anampses_new,A.caeruleopunctatus,anampses_caeruleopunctatus,58.865,3196.203006,2133844.867,17846.20194,61757.83915,21896.41536,309.6951656,101810.1516,37560671.68,129980929.8,46085103.79,651811.4318,214278516.7,190.4635,216613.4153,144615164.7,8767.968,23727.613
auriga_new,C.auriga,chaetodon_auriga,61.478,2945.411146,1966411.534,35607.4288,32011.20924,44323.2171,314.549477,112256.4046,74942497.42,67373580.37,93286504.96,662028.2385,236264611,161.4355,174920.2453,116780025.2,12345.408,30513.421
calotomus_new,C.viridescens,calotomus_viridescens,52.278,2697.621029,1800982.22,23085.93591,95257.69794,31321.20555,717.6919943,150382.5314,48588672.39,200487651.7,65921338.47,1510517.11,316508179.6,206.503,292660,195385286.1,10502.526,29402.279
chaetodon_new,C.melapterus,chaetodon_melapterus,48.1355,2177.075525,1453456.312,41916.48207,36143.52764,39069.55123,533.780184,117663.3411,88221080.7,76070817.75,82229181.98,1123440.288,247644520.7,167.2245,209788.668,140058835.9,12224.265,31133.95
fowleri_new,A.fowleri,acanthurus_fowleri,46.92,2258.403588,1507752.447,25209.79902,60869.65294,33323.28353,178.0086097,119580.7441,53058739.75,128111575.7,70135086.25,374652.4314,251680054.1,171.7805,149556.5648,99846758.01,12282.69,26568.429
imperator_new,P.imperator,pomacanthus_imperator,48.607,2155.074103,1438767.751,24652.40471,37924.83836,30066.96712,550.339377,93194.54956,51885599.11,79819919.52,63281558.98,1158292.208,196145369.8,189.388,336707.8526,224792455.8,8835.932,32278.842
kyphosus_new,K.cinerascens,kyphosus_cinerascens,54.6405,2937.82902,1961349.564,20983.30701,122230.8663,19898.40044,1207.527357,164320.1011,44163296.38,257257732.2,41879907.49,2541467.297,345842403.4,206.3575,296795.6897,198146349.8,9623.376,28341.546
lacrymatus_new,P.lacrymatus,Plectroglyphidodon_lacrymatus,54.3185,2838.779311,1895222.128,20213.74425,51185.5173,23639.15445,1109.278256,96147.69427,42543607.55,107729499.9,49753024.34,2334683.678,202360815.5,157.25,139330.4139,93019588.55,10154.732,24619.883
microcanthus_new,M.strigatus,microcanthus_strigatus,54.4145,2638.897409,1761777.234,13618.06966,52038.20358,16896.65701,1447.363341,84000.29358,28661776.05,109524137.8,35562176.69,3046247.008,176794337.5,164.7985,179719.9471,119984395.8,9203.095,26854.139
multispinis_new,C.multispinis,centropyge_multispinis,47.349,2073.88195,1384562.352,35524.90381,57507.04242,34181.64071,1252.536847,128466.1238,74768808.14,121034332.5,71941659.58,2636198.193,270380998.5,173.8775,211724.0612,141350940.6,12298.19,29292.478
naso_new,N.unicornis,naso_unicornis,52.3635,2260.162384,1508926.652,12605.4392,53132.59787,19835.00675,39.45849646,85612.50231,26530505.75,111827495.4,41746483.59,83047.78999,180187532.5,187.0425,154147.3418,102911646.5,9431.488,23847.92
nigrofuscus_new,A.nigrofuscus,acanthurus_nigrofuscus,45.058,1968.826771,1314425.551,28375.32457,78357.06763,36558.46315,755.3701494,144046.2255,59721180.66,164917112.4,76944127.19,1589817.838,303172238.1,186.4645,224038.6913,149572417.8,14615.254,32146.495
pavo_new,I.pavo,iniistius_pavo,45.636,2512.83271,1677614.084,12479.9137,23837.36093,10654.97541,141.7368163,47113.98685,26266313.85,50170186.95,22425389.7,298311.6543,99160202.15,170.2965,124831.4616,83339816.97,5823.444,16904.806
pomacentrus_new,P.aquilus,pomacentrus_aquilus,48.682,2410.647989,1609393.655,18636.65523,46727.93029,25994.18815,887.1025798,92245.87624,39224328.56,98347673.88,54709633.46,1867073.39,194148709.3,160.1945,165614.7607,110567509.7,9979.25,25735.728
rivulatus_new,S.rivulatus,siganus_rivulatus,55.8225,3209.600203,2142789.086,37785.12821,135728.906,41282.94006,1272.158131,216069.1324,79525873.36,285666882.7,86887672.96,2677494.856,454757923.9,246.175,468800.1209,312979723,11600.174,32620.929
vulpinus_new,S.vulpinus,siganus_vulpinus,63.646,3534.362803,2359606.668,59072.07511,102180.7803,58306.62576,1268.488215,220827.9694,124328236.7,215058574.1,122717205.3,2669770.831,464773787,207.499,376632.3927,251446825,15669.315,38145.361
zebrasoma_new,Z.xanthurum,zebrasoma_xanthurum,53.727,2289.887943,1528771.991,26815.57576,47755.14714,24805.03224,362.577509,99738.33265,56438397.4,100509644,52206832.32,763112.2198,209917985.9,149.925,124108.6022,82857222.54,13424.446,27897.591
